#权限编码  权限状态  权限名称  权限描述 接口编码 接口状态 接口名称 接口描述 操作员ID
2120101      1    集团版聚合支付退款申请      集团版聚合支付退款申请        2120101  1   aggregate_pay_refund_req      集团版聚合支付退款申请      0000000000
21202        1    集团版聚合支付退款记录查询  集团版聚合支付退款记录查询    21202    1   aggregate_pay_qry_refund_list 集团版聚合支付退款记录查询  0000000000
21203        1    集团版聚合支付报表下载      集团版聚合支付报表下载        21203    1   aggregate_pay_download        集团版聚合支付报表下载      0000000000
21204        1    集团版聚合支付门店查询      集团版聚合支付门店查询        21204    1   aggregate_pay_shop_query      集团版聚合支付门店查询      0000000000
2120401      1    集团版聚合支付门店添加      集团版聚合支付门店添加        2120401  1   aggregate_pay_shop_manage     集团版聚合支付门店添加      0000000000
2120402      1    集团版聚合支付门店批量      集团版聚合支付门店批量        2120402  1   aggregate_pay_shop_add_batch  集团版聚合支付门店批量      0000000000

21205        1    集团版聚合支付终端查询      集团版聚合支付终端查询        21205    1   aggregate_pay_terminal_query      集团版聚合支付终端查询      0000000000
2120501      1    集团版聚合支付终端添加      集团版聚合支付终端添加        2120501  1   aggregate_pay_terminal_add        集团版聚合支付终端添加      0000000000
2120502      1    集团版聚合支付终端批量      集团版聚合支付终端批量        2120502  1   aggregate_pay_terminal_add_batch  集团版聚合支付终端批量      0000000000
2120503      1    集团版聚合支付终端编辑      集团版聚合支付终端编辑        2120503  1   aggregate_pay_terminal_edit       集团版聚合支付终端编辑      0000000000
2120504      1    集团版聚合支付终端关闭      集团版聚合支付终端关闭        2120504  1   aggregate_pay_terminal_close      集团版聚合支付终端关闭      0000000000

301        1    结算单查询             结算单查询           301      1   settle_list_query      结算单查询          0000000000
30101      1    结算单支付结算欠款     结算单支付结算欠款   30101    1   pay_debt_ret_query     结算单支付结算欠款  0000000000
30102      1    结算单结果下载         结算单结果下载       30102    1   settle_list_query      结算单结果下载      0000000000
30103      1    结算单详情             结算单详情           30103    1   settle_detail_query    结算单详情          0000000000
302        1    支付结算欠款           支付结算欠款         302      1   qry_settle_debt        支付结算欠款        0000000000
30201      1    支付结算欠款           支付结算欠款         30201    1   pay_debt               支付结算欠款        0000000000
303        1    支付欠款记录           支付欠款记录         303      1   b2b_qry_arrear_list    支付欠款记录        0000000000
304        1    对账单下载             对账单下载           304      1   download_bill               对账单下载        0000000000
305        1    手续费月结             手续费月结           305      1   b2b_fee_settle_month_qry    手续费月结        0000000000

401        1    企业信息查询           企业信息             401      1   qry_spid_info               企业信息        0000000000
402        1    操作员信息查询         操作员信息查询       402      1   qry_oper_info         操作员信息查询        0000000000

